id,time,ipa,category,gloss,frequency
bremō,200,ˈbremɔː,verb.pres.1sg,,
smeltō,-2000,ˈsmeldoħ,verb.pres.1sg,smeltō,1
smeltō,200,ˈsmeltɔː,verb.pres.1sg,,
algiz,-2000,χolˈkʲis,noun,algiz,1
algiz,200,ˈɑlɣiz,noun,,
wiþiz,-2000,ˈweχitis,noun,wiþiz,1
wiþiz,200,ˈwiθ̠iz,noun,,
barō,-2000,bʱoˈreħ,noun,barō,1
barō,200,ˈbɑrɔː,noun,,
kwernuz,-2000,gʷerˈħnus,noun,kwernuz,1
kwernuz,200,ˈkʷernuz,noun,,
hūnaz,-2000,kʲuˈχnos,noun,hūnaz,1
hūnaz,200,ˈxuːnɑz,noun,,
tīhidi,-2000,ˈdejkʲeti,verb.pres.3sg,tīhidi,1
tīhidi,200,ˈtiːxið̠i,verb.pres.3sg,,
tīhō,-2000,ˈdejkʲoħ,verb.pres.1sg,tīhō,1
tīhō,200,ˈtiːxɔː,verb.pres.1sg,,
turþiz,-2000,ˈdr̩tis,noun,turþiz,1
turþiz,200,ˈturθ̠iz,noun,,
saidaz,-2000,sojˈtos,noun,saidaz,1
saidaz,200,ˈsɑjð̠ɑz,noun,,
draugaz,-2000,ˈdʱrowgʱos,noun,draugaz,1
draugaz,200,ˈdrɑwɣɑz,noun,,
baidijō,-2000,bʱojˈdʱejoħ,verb.pres.1sg,baidijō,1
baidijō,200,ˈbɑjð̠ijɔː,verb.pres.1sg,,
twigimaz,-2000,ˈdwigʲʱimos,adj,twigimaz,1
twigimaz,200,ˈtwiɣimɑz,adj,,
fetą,-2000,peˈdom,noun,fetą,1
fetą,200,ˈɸetɑ̃,noun,,
kumþiz,-2000,ˈgʷm̩tis,noun,kumþiz,1
kumþiz,200,ˈkumθ̠iz,noun,,
tehwō,-2000,ˈdekʲweħ,noun,tehwō,1
tehwō,200,ˈtexʷɔː,noun,,
laisō,-2000,ˈlojseħ,noun,laisō,1
laisō,200,ˈlɑjsɔː,noun,,
buttaz-off,-2000,bʱuˈdnos,adj,buttaz-off,1
buttaz-off,200,ˈbuttɑz,adj,,
arjaz,-2000,ˈħerjos,adj,arjaz,1
arjaz,200,ˈɑrjɑz,adj,,
þinhslō,-2000,ˈtengʱsleħ,noun,þinhslō,1
þinhslō,900,ˈθ̠iːksl,noun,,
stadaz,-2000,ˈstħtos,adj,stadaz,1
stadaz,200,ˈstɑð̠ɑz,adj,,
rikidi,-2000,ˈʁʷregʲeti,verb.pres.3sg,rikidi,1
rikidi,200,ˈrikið̠i,verb.pres.3sg,,
rekō,-2000,ˈʁʷregʲoħ,verb.pres.1sg,rekō,1
rekō,200,ˈrekɔː,verb.pres.1sg,,
arþrą,-2000,ˈħerʁʷtrom,noun,arþrą,1
arþrą,200,ˈɑrθ̠rɑ̃,noun,,
awô,-2000,ˈħewħoː,noun,awô,1
awô,200,ˈɑwɔːː,noun,,
angô-smell,-2000,ˈħengʲʱoː,noun,angô-smell,1
angô-smell,200,ˈɑŋgɔːː,noun,,
wurhtaz,-2000,wr̩gʲˈtos,adj,wurhtaz,1
wurhtaz,200,ˈwurxtɑz,adj,,
sparwaz,-2000,ˈspeːr,noun,sparwaz,1
sparwaz,200,ˈspɑrwɑz,noun,,
wagnisô,-2000,ˈwogʷʱnis,noun,wagnisô,1
wagnisô,200,ˈwɑɣnisɔːː,noun,,
riutidi,-2000,ˈχrewdχti,verb.pres.3sg,riutidi,1
riutidi,200,ˈriwtið̠i,verb.pres.3sg,,
kwastuz,-2000,ˈgʷosdus,noun,kwastuz,1
kwastuz,200,ˈkʷɑstuz,noun,,
